GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.task,MGWFileCleanUpTask,76,0,6,0,21,0,7,0,4,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.task,MGWFileReaderTask,91,0,8,0,33,0,9,0,5,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.source,MGWFileSource,115,0,4,0,42,0,14,0,12,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.dao,MGWFileSourceDAO,530,0,40,0,150,0,27,0,7,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.dto,MGWFileInfoDTO,32,0,0,0,7,0,4,0,4,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.exception,MGWFileSourceException,9,0,0,0,4,0,2,0,2,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile,MGWFileDataRetrieverThreadFactory,73,0,6,0,13,0,6,0,3,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile,MGWFileDataRetriever,276,0,10,0,57,0,9,0,4,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile,MGWFileSourceDS,39,0,4,0,16,0,8,0,6,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile,MGWFileSourceRegistrationManager,21,0,0,0,7,0,5,0,5,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile,MGWFileSourceConstants,3,0,0,0,1,0,1,0,1,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.util,MGWFileSourceDBUtil,86,0,8,0,32,0,12,0,8,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.util,FileDataRetrieverUtil,157,0,30,0,30,0,24,0,6,0
Siddhi io mgwfile extension,org.wso2.extension.siddhi.io.mgwfile.sink,MGWFileSink,21,0,0,0,11,0,11,0,11,0
